Code,Borough,Mid-year estimates 1999,Mid-year estimates 2000,Mid-year estimates 2001,Mid-year estimates 2002,Mid-year estimates 2003,Mid-year estimates 2004,Mid-year estimates 2005,Mid-year estimates 2006,Mid-year estimates 2007,Mid-year estimates 2008,Mid-year estimates 2009,Mid-year estimates 2010,Mid-year estimates 2011,Mid-year estimates 2012,Mid-year estimates 2013,Mid-year estimates 2014,Mid-year estimates 2015,Mid-year estimates 2016,Year,Value
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,1999,120.4538179311024
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,2000,123.57452728304442
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,2001,123.98131044224709
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,2002,122.59177551891415
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,2003,133.2290475903977
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,2004,129.4728579192078
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,2005,132.68380694632387
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,2006,127.92763689226297
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,2007,115.57643272535807
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,2008,115.89891680003711
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,2009,111.74118707061606
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,2010,104.88519891926185
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,2011,100.652839933914
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,2012,90.47019311502939
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,2013,82.85996542356138
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,2014,81.87337993080982
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,2015,86.52879754825997
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,2016,70.89993219025477
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,1999,120.4538179311024
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,2000,123.57452728304442
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,2001,123.98131044224709
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,2002,122.59177551891415
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,2003,133.2290475903977
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,2004,129.4728579192078
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,2005,132.68380694632387
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,2006,127.92763689226297
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,2007,115.57643272535807
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,2008,115.89891680003711
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,2009,111.74118707061606
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,2010,104.88519891926185
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,2011,100.652839933914
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,2012,90.47019311502939
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,2013,82.85996542356138
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,2014,81.87337993080982
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,2015,86.52879754825997
E09000002,Barking and Dagenham,,,,,,,,,,,,,,,,,,,2016,70.89993219025477
E09000003,Barnet,,,,,,,,,,,,,,,,,,,1999,97.96183992675512
E09000003,Barnet,,,,,,,,,,,,,,,,,,,2000,95.67615838674537
E09000003,Barnet,,,,,,,,,,,,,,,,,,,2001,101.02009196165031
E09000003,Barnet,,,,,,,,,,,,,,,,,,,2002,107.12146547206069
E09000003,Barnet,,,,,,,,,,,,,,,,,,,2003,112.76499213802275
E09000003,Barnet,,,,,,,,,,,,,,,,,,,2004,117.03524309363252
E09000003,Barnet,,,,,,,,,,,,,,,,,,,2005,106.46300768453415
E09000003,Barnet,,,,,,,,,,,,,,,,,,,2006,90.44712682247031
E09000003,Barnet,,,,,,,,,,,,,,,,,,,2007,79.57603251731439
E09000003,Barnet,,,,,,,,,,,,,,,,,,,2008,77.75078711838025
E09000003,Barnet,,,,,,,,,,,,,,,,,,,2009,75.97107240861813
E09000003,Barnet,,,,,,,,,,,,,,,,,,,2010,73.13096477899374
E09000003,Barnet,,,,,,,,,,,,,,,,,,,2011,73.50547354407085
E09000003,Barnet,,,,,,,,,,,,,,,,,,,2012,69.6897427161525
E09000003,Barnet,,,,,,,,,,,,,,,,,,,2013,61.56797294954049
E09000003,Barnet,,,,,,,,,,,,,,,,,,,2014,61.859354787085074
E09000003,Barnet,,,,,,,,,,,,,,,,,,,2015,65.78507259850772
E09000003,Barnet,,,,,,,,,,,,,,,,,,,2016,55.81442332348226
E09000003,Barnet,,,,,,,,,,,,,,,,,,,1999,97.96183992675512
E09000003,Barnet,,,,,,,,,,,,,,,,,,,2000,95.67615838674537
E09000003,Barnet,,,,,,,,,,,,,,,,,,,2001,101.02009196165031
E09000003,Barnet,,,,,,,,,,,,,,,,,,,2002,107.12146547206069
E09000003,Barnet,,,,,,,,,,,,,,,,,,,2003,112.76499213802275
E09000003,Barnet,,,,,,,,,,,,,,,,,,,2004,117.03524309363252
E09000003,Barnet,,,,,,,,,,,,,,,,,,,2005,106.46300768453415
E09000003,Barnet,,,,,,,,,,,,,,,,,,,2006,90.44712682247031
E09000003,Barnet,,,,,,,,,,,,,,,,,,,2007,79.57603251731439
E09000003,Barnet,,,,,,,,,,,,,,,,,,,2008,77.75078711838025
E09000003,Barnet,,,,,,,,,,,,,,,,,,,2009,75.97107240861813
E09000003,Barnet,,,,,,,,,,,,,,,,,,,2010,73.13096477899374
E09000003,Barnet,,,,,,,,,,,,,,,,,,,2011,73.50547354407085
E09000003,Barnet,,,,,,,,,,,,,,,,,,,2012,69.6897427161525
E09000003,Barnet,,,,,,,,,,,,,,,,,,,2013,61.56797294954049
E09000003,Barnet,,,,,,,,,,,,,,,,,,,2014,61.859354787085074
E09000003,Barnet,,,,,,,,,,,,,,,,,,,2015,65.78507259850772
E09000003,Barnet,,,,,,,,,,,,,,,,,,,2016,55.81442332348226
E09000004,Bexley,,,,,,,,,,,,,,,,,,,1999,95.0988236808947
E09000004,Bexley,,,,,,,,,,,,,,,,,,,2000,96.34367698898578
E09000004,Bexley,,,,,,,,,,,,,,,,,,,2001,96.91118455637991
E09000004,Bexley,,,,,,,,,,,,,,,,,,,2002,90.14115359866376
E09000004,Bexley,,,,,,,,,,,,,,,,,,,2003,92.46600247254744
E09000004,Bexley,,,,,,,,,,,,,,,,,,,2004,85.36690250184459
E09000004,Bexley,,,,,,,,,,,,,,,,,,,2005,89.98115930950442
E09000004,Bexley,,,,,,,,,,,,,,,,,,,2006,76.12414905051952
E09000004,Bexley,,,,,,,,,,,,,,,,,,,2007,74.84028937117418
E09000004,Bexley,,,,,,,,,,,,,,,,,,,2008,71.34726364647125
E09000004,Bexley,,,,,,,,,,,,,,,,,,,2009,67.72417662374093
E09000004,Bexley,,,,,,,,,,,,,,,,,,,2010,59.550693291607246
E09000004,Bexley,,,,,,,,,,,,,,,,,,,2011,52.2738793851547
E09000004,Bexley,,,,,,,,,,,,,,,,,,,2012,52.652697090122125
E09000004,Bexley,,,,,,,,,,,,,,,,,,,2013,50.011196221169726
E09000004,Bexley,,,,,,,,,,,,,,,,,,,2014,51.19546411523149
E09000004,Bexley,,,,,,,,,,,,,,,,,,,2015,52.217293984521476
E09000004,Bexley,,,,,,,,,,,,,,,,,,,2016,45.6079424742605
E09000004,Bexley,,,,,,,,,,,,,,,,,,,1999,95.0988236808947
E09000004,Bexley,,,,,,,,,,,,,,,,,,,2000,96.34367698898578
E09000004,Bexley,,,,,,,,,,,,,,,,,,,2001,96.91118455637991
E09000004,Bexley,,,,,,,,,,,,,,,,,,,2002,90.14115359866376
E09000004,Bexley,,,,,,,,,,,,,,,,,,,2003,92.46600247254744
E09000004,Bexley,,,,,,,,,,,,,,,,,,,2004,85.36690250184459
E09000004,Bexley,,,,,,,,,,,,,,,,,,,2005,89.98115930950442
E09000004,Bexley,,,,,,,,,,,,,,,,,,,2006,76.12414905051952
E09000004,Bexley,,,,,,,,,,,,,,,,,,,2007,74.84028937117418
E09000004,Bexley,,,,,,,,,,,,,,,,,,,2008,71.34726364647125
E09000004,Bexley,,,,,,,,,,,,,,,,,,,2009,67.72417662374093
E09000004,Bexley,,,,,,,,,,,,,,,,,,,2010,59.550693291607246
E09000004,Bexley,,,,,,,,,,,,,,,,,,,2011,52.2738793851547
E09000004,Bexley,,,,,,,,,,,,,,,,,,,2012,52.652697090122125
E09000004,Bexley,,,,,,,,,,,,,,,,,,,2013,50.011196221169726
E09000004,Bexley,,,,,,,,,,,,,,,,,,,2014,51.19546411523149
E09000004,Bexley,,,,,,,,,,,,,,,,,,,2015,52.217293984521476
E09000004,Bexley,,,,,,,,,,,,,,,,,,,2016,45.6079424742605
E09000005,Brent,,,,,,,,,,,,,,,,,,,1999,127.74040880925949
E09000005,Brent,,,,,,,,,,,,,,,,,,,2000,122.71603540357432
E09000005,Brent,,,,,,,,,,,,,,,,,,,2001,123.41814405459534
E09000005,Brent,,,,,,,,,,,,,,,,,,,2002,124.27048478717609
E09000005,Brent,,,,,,,,,,,,,,,,,,,2003,133.55918053987173
E09000005,Brent,,,,,,,,,,,,,,,,,,,2004,132.60290308755845
E09000005,Brent,,,,,,,,,,,,,,,,,,,2005,129.69709048900305
E09000005,Brent,,,,,,,,,,,,,,,,,,,2006,110.2117871712525
E09000005,Brent,,,,,,,,,,,,,,,,,,,2007,99.28937809109941
E09000005,Brent,,,,,,,,,,,,,,,,,,,2008,93.54728928398322
